,matches,likes,dislikes,males,females,messages
0,836,24085,55750,692,308,565
1,824,23824,56129,677,323,562
2,815,23784,56166,670,330,560
3,886,23990,55753,714,286,577
4,791,24032,55916,670,330,502
5,813,23898,56060,661,339,576
6,835,24083,55863,694,306,588
7,768,23805,56145,683,317,536
8,821,24021,55943,682,318,531
9,813,24032,55760,700,300,550
10,812,23931,56040,709,291,546
11,821,23880,55869,687,313,557
12,820,23931,56020,669,331,511
13,815,23666,56278,672,328,584
14,821,23698,56057,695,305,560
15,853,24188,55767,691,309,600
16,784,23930,56018,662,338,514
17,812,23811,55954,679,321,564
18,853,23840,55941,707,293,586
19,796,24014,55954,671,329,552
20,833,23968,55798,699,301,557
21,868,23913,55914,686,314,605
22,824,24071,55900,669,331,568
23,820,23874,56082,695,305,552
24,812,23980,55709,712,288,590
